truth_gene	AUS.18	sample_id	hendriksen_sample	truth_class	ALB.17	AUT.70	BGR.66	BRA.53	CAN.22	CHE.67	CHN.64
erm(B)_clust		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							76.0
erm(F)_clust		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							278.0
erm(G)_clust		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							20.0
erm(Q)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							1.0
erm(T)_4_AJ488494		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							1.0
erm(X)_clust		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							6.0
floR_clust		ERR1713344	CHN.64	phenicol							41.0
fosA_clust1		ERR1713344	CHN.64	fosfomycin							3.0
fosA_clust2		ERR1713344	CHN.64	fosfomycin							6.0
imiS_imiH_blaCEPH_clust		ERR1713344	CHN.64	beta_lactam							1.0
lnu(B)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							32.0
lnu(C)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							25.0
lnu(D)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							4.0
lnu(F)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							18.0
mef(A)_10_AF376746		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							55.0
mef(A)_3_AF227521		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							45.0
mef(B)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							52.0
mph(A)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							17.0
mph(E)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							266.0
msr(D)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							178.0
msr(E)		ERR1713344	CHN.64	macrolide_lincosamide_streptogramin							471.0
nimD		ERR1713344	CHN.64	other_or_unmapped							1.0
optrA		ERR1713344	CHN.64	other_or_unmapped							6.0
oqxA		ERR1713344	CHN.64	quinolone							21.0
oqxB		ERR1713344	CHN.64	quinolone							83.0
QnrB_clust1		ERR1713344	CHN.64	quinolone							1.0
QnrD		ERR1713344	CHN.64	quinolone							2.0
QnrS_clust1		ERR1713344	CHN.64	quinolone							2.0
QnrS_clust2		ERR1713344	CHN.64	quinolone							11.0
QnrVC_clust1		ERR1713344	CHN.64	quinolone							6.0
QnrVC_clust2		ERR1713344	CHN.64	quinolone							8.0
rmtF		ERR1713344	CHN.64	aminoglycoside							1.0
strA		ERR1713344	CHN.64	aminoglycoside							78.0
strB		ERR1713344	CHN.64	aminoglycoside							74.0
sul1_sul3_clust		ERR1713344	CHN.64	sulfonamide							529.0
sul2_clust		ERR1713344	CHN.64	sulfonamide							176.0
sul3_2_AJ459418		ERR1713344	CHN.64	sulfonamide							2.0
tet(31)		ERR1713344	CHN.64	tetracycline							1.0
tet(32)		ERR1713344	CHN.64	tetracycline							115.0
tet(33)		ERR1713344	CHN.64	tetracycline							6.0
tet(36)		ERR1713344	CHN.64	tetracycline							325.0
tet(39)		ERR1713344	CHN.64	tetracycline							102.0
tet(40)		ERR1713344	CHN.64	tetracycline							29.0
tet(44)		ERR1713344	CHN.64	tetracycline							50.0
tet(A)		ERR1713344	CHN.64	tetracycline							72.0
tet(B)		ERR1713344	CHN.64	tetracycline							1.0
tet(C)		ERR1713344	CHN.64	tetracycline							274.0
tet(E)		ERR1713344	CHN.64	tetracycline							54.0
tet(G)		ERR1713344	CHN.64	tetracycline							100.0
tet(H)		ERR1713344	CHN.64	tetracycline							5.0
tet(L)_clust1		ERR1713344	CHN.64	tetracycline							8.0
tet(M)		ERR1713344	CHN.64	tetracycline							155.0
tet(O)		ERR1713344	CHN.64	tetracycline							110.0
tet(Q)		ERR1713344	CHN.64	tetracycline							625.0
tet(S)		ERR1713344	CHN.64	tetracycline							19.0
tet(T)		ERR1713344	CHN.64	tetracycline							4.0
tet(W)		ERR1713344	CHN.64	tetracycline							135.0
tet(X)_clust		ERR1713344	CHN.64	tetracycline							182.0
tet(Y)		ERR1713344	CHN.64	tetracycline							7.0
tetA(P)		ERR1713344	CHN.64	tetracycline							10.0
tetB(P)		ERR1713344	CHN.64	tetracycline							6.0
VanT-G		ERR1713344	CHN.64	aminoglycoside							2.0
aac(3)-Ib-aac(6')-Ib		ERR1713344	CHN.64	aminoglycoside							5.0
aac(3)-II_clust		ERR1713344	CHN.64	aminoglycoside							5.0
aac(6')-aph(2'')_1_M13771		ERR1713344	CHN.64	aminoglycoside							38.0
aac(6')-Ia		ERR1713344	CHN.64	aminoglycoside							4.0
aac(6')-IIa		ERR1713344	CHN.64	aminoglycoside							27.0
aac(6')-IIc		ERR1713344	CHN.64	aminoglycoside							2.0
aac(6')-Il		ERR1713344	CHN.64	aminoglycoside							1.0
aadA_clust1		ERR1713344	CHN.64	aminoglycoside							240.0
aadA10		ERR1713344	CHN.64	aminoglycoside							8.0
aadA13		ERR1713344	CHN.64	aminoglycoside							12.0
aadA16		ERR1713344	CHN.64	aminoglycoside							13.0
aadA2		ERR1713344	CHN.64	aminoglycoside							78.0
aadA4_aadA5		ERR1713344	CHN.64	aminoglycoside							74.0
aadA7		ERR1713344	CHN.64	aminoglycoside							2.0
aadB		ERR1713344	CHN.64	aminoglycoside							16.0
aadE_1_KF421157		ERR1713344	CHN.64	aminoglycoside							12.0
