sample_id	Drug Class	All Mapped Reads
ERR1713337	phenicol antibiotic	3581.0
ERR1713337	phosphonic acid antibiotic	88.0
ERR1713337	pleuromutilin antibiotic	658.0
ERR1713337	rifamycin antibiotic	3292.0
ERR1713337	streptogramin A antibiotic	845.0
ERR1713337	streptogramin B antibiotic	759.0
ERR1713337	streptogramin antibiotic	3282.0
ERR1713337	sulfonamide antibiotic	590.0
ERR1713337	tetracycline antibiotic	9854.0
ERR1713339	aminocoumarin antibiotic	261.0
ERR1713339	aminoglycoside antibiotic	663.0
ERR1713339	carbapenem	240.0
ERR1713339	cephalosporin	507.0
ERR1713339	diaminopyrimidine antibiotic	246.0
ERR1713339	disinfecting agents and antiseptics	238.0
ERR1713339	fluoroquinolone antibiotic	651.0
ERR1713339	glycopeptide antibiotic	6.0
ERR1713339	glycylcycline	122.0
ERR1713339	lincosamide antibiotic	453.0
ERR1713339	macrolide antibiotic	1600.0
ERR1713339	monobactam	172.0
ERR1713339	mupirocin-like antibiotic	24.0
ERR1713339	nan	58.0
ERR1713339	nitrofuran antibiotic	36.0
ERR1713339	nitroimidazole antibiotic	13.0
ERR1713339	nucleoside antibiotic	16.0
ERR1713339	oxazolidinone antibiotic	24.0
ERR1713339	penicillin beta-lactam	606.0
ERR1713339	peptide antibiotic	95.0
ERR1713339	phenicol antibiotic	445.0
ERR1713339	phosphonic acid antibiotic	24.0
ERR1713339	pleuromutilin antibiotic	140.0
ERR1713339	rifamycin antibiotic	311.0
ERR1713339	streptogramin A antibiotic	107.0
ERR1713339	streptogramin B antibiotic	115.0
ERR1713339	streptogramin antibiotic	683.0
ERR1713339	sulfonamide antibiotic	19.0
ERR1713339	tetracycline antibiotic	940.0
ERR1713344	aminocoumarin antibiotic	4501.0
ERR1713344	aminoglycoside antibiotic	11610.0
ERR1713344	antibacterial free fatty acids	11.0
ERR1713344	bicyclomycin-like antibiotic	55.0
ERR1713344	carbapenem	4526.0
ERR1713344	cephalosporin	8869.0
ERR1713344	diaminopyrimidine antibiotic	3724.0
ERR1713344	disinfecting agents and antiseptics	3697.0
ERR1713344	fluoroquinolone antibiotic	9954.0
ERR1713344	fusidane antibiotic	12.0
ERR1713344	glycopeptide antibiotic	178.0
ERR1713344	glycylcycline	1710.0
ERR1713344	isoniazid-like antibiotic	22.0
ERR1713344	lincosamide antibiotic	3592.0
ERR1713344	macrolide antibiotic	19481.0
ERR1713344	monobactam	3891.0
ERR1713344	mupirocin-like antibiotic	172.0
ERR1713344	nan	761.0
ERR1713344	nitrofuran antibiotic	480.0
ERR1713344	nitroimidazole antibiotic	85.0
ERR1713344	nucleoside antibiotic	196.0
ERR1713344	oxazolidinone antibiotic	144.0
ERR1713344	penicillin beta-lactam	8312.0
ERR1713344	peptide antibiotic	2081.0
ERR1713344	phenicol antibiotic	7148.0
ERR1713344	phosphonic acid antibiotic	115.0
ERR1713344	pleuromutilin antibiotic	341.0
ERR1713344	rifamycin antibiotic	5421.0
ERR1713344	streptogramin A antibiotic	1162.0
ERR1713344	streptogramin B antibiotic	1123.0
ERR1713344	streptogramin antibiotic	3365.0
ERR1713344	sulfonamide antibiotic	706.0
ERR1713344	tetracycline antibiotic	15292.0
ERR1725947	aminocoumarin antibiotic	2565.0
ERR1725947	aminoglycoside antibiotic	5556.0
ERR1725947	carbapenem	4394.0
ERR1725947	cephalosporin	5718.0
ERR1725947	diaminopyrimidine antibiotic	3016.0
ERR1725947	disinfecting agents and antiseptics	1821.0
ERR1725947	fluoroquinolone antibiotic	6550.0
ERR1725947	fusidane antibiotic	7.0
ERR1725947	glycopeptide antibiotic	27.0
ERR1725947	glycylcycline	702.0
ERR1725947	lincosamide antibiotic	2549.0
ERR1725947	macrolide antibiotic	13316.0
ERR1725947	moenomycin antibiotic	1.0
ERR1725947	monobactam	1940.0
ERR1725947	mupirocin-like antibiotic	39.0
ERR1725947	nan	553.0
ERR1725947	nitrofuran antibiotic	139.0
ERR1725947	nitroimidazole antibiotic	62.0
ERR1725947	nucleoside antibiotic	191.0
ERR1725947	oxazolidinone antibiotic	177.0
ERR1725947	penicillin beta-lactam	6681.0
ERR1725947	peptide antibiotic	1438.0
ERR1725947	phenicol antibiotic	4722.0
ERR1725947	phosphonic acid antibiotic	102.0
ERR1725947	pleuromutilin antibiotic	192.0
ERR1725947	rifamycin antibiotic	3270.0
ERR1725947	streptogramin A antibiotic	399.0
ERR1725947	streptogramin B antibiotic	356.0
ERR1725947	streptogramin antibiotic	3780.0
ERR1725947	sulfonamide antibiotic	307.0
ERR1725947	tetracycline antibiotic	8658.0
ERR1725962	aminocoumarin antibiotic	960.0
ERR1725962	aminoglycoside antibiotic	2527.0
ERR1725962	antibiotic without defined classification	4.0
ERR1725962	carbapenem	673.0
ERR1725962	cephalosporin	1527.0
ERR1725962	diaminopyrimidine antibiotic	746.0
ERR1725962	disinfecting agents and antiseptics	765.0
ERR1725962	fluoroquinolone antibiotic	2229.0
ERR1725962	glycopeptide antibiotic	14.0
ERR1725962	glycylcycline	171.0
ERR1725962	lincosamide antibiotic	330.0
ERR1725962	macrolide antibiotic	3361.0
ERR1725962	moenomycin antibiotic	1.0
ERR1725962	monobactam	754.0
ERR1725962	mupirocin-like antibiotic	47.0
ERR1725962	nan	195.0
ERR1725962	nitrofuran antibiotic	70.0
ERR1725962	nitroimidazole antibiotic	13.0
ERR1725962	nucleoside antibiotic	33.0
ERR1725962	oxazolidinone antibiotic	76.0
ERR1725962	penicillin beta-lactam	1340.0
ERR1725962	peptide antibiotic	254.0
ERR1725962	phenicol antibiotic	1433.0
ERR1725962	phosphonic acid antibiotic	13.0
ERR1725962	pleuromutilin antibiotic	45.0
ERR1725962	rifamycin antibiotic	1080.0
ERR1725962	streptogramin A antibiotic	51.0
ERR1725962	streptogramin B antibiotic	46.0
ERR1725962	streptogramin antibiotic	432.0
ERR1725962	sulfonamide antibiotic	132.0
ERR1725962	tetracycline antibiotic	2719.0
