ARO_Term	Drug_Class	All_Mapped_Reads	Average_Percent_Coverage
Klebsiella pneumoniae KpnG	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; peptide antibiotic	22.00	79.88
Klebsiella pneumoniae KpnH	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; peptide antibiotic	28.00	82.98
qacE	disinfecting agents and antiseptics	7.00	61.56
qacEdelta1	disinfecting agents and antiseptics	7.00	79.31
ICR-Mo	peptide antibiotic	1440.00	100.00
APH(3')-VIb	aminoglycoside antibiotic	3.00	42.05
Acinetobacter baumannii AmvA	macrolide antibiotic; disinfecting agents and antiseptics	8.00	40.84
YajC	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	12.00	99.71
cmlA9	phenicol antibiotic	22.00	91.19
MecC-type methicillin resistance repressor MecI	penicillin beta-lactam	3.00	16.80
eptB	peptide antibiotic	33.00	83.01
ArnT	peptide antibiotic	16.00	77.60
FRI-9	penicillin beta-lactam	2.00	3.16
Klebsiella pneumoniae KpnF	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	4.00	63.64
rsmA	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	3.00	93.01
msrH	macrolide antibiotic; streptogramin antibiotic	4.00	4.04
RanB	aminoglycoside antibiotic	76.00	84.51
RanA	aminoglycoside antibiotic	29.00	79.02
OXA-899	cephalosporin; penicillin beta-lactam	6.00	15.82
mecC-type BlaZ	penicillin beta-lactam	4.00	5.05
qacH	disinfecting agents and antiseptics	3.00	46.91
qacL	disinfecting agents and antiseptics	390.00	100.00
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	3.00	61.61
OXA-668	carbapenem; penicillin beta-lactam	33.00	99.41
OmpA	peptide antibiotic	39.00	98.84
LptD	carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic	53.00	88.93
CMY-144	cephalosporin	2.00	14.92
FosA7.5	phosphonic acid antibiotic	1.00	24.82
OXA-779	penicillin beta-lactam	3.00	41.70
OXA-648	carbapenem; penicillin beta-lactam	4.00	12.38
OXA-646	carbapenem; penicillin beta-lactam	1.00	9.05
SHV-224	cephalosporin; penicillin beta-lactam	2.00	21.02
GPC-1	carbapenem	21.00	100.00
BlaB-2	carbapenem; penicillin beta-lactam	4.00	34.40
BSU-1	carbapenem	1.00	3.36
CARB-50	penicillin beta-lactam	15.00	71.68
ACT-45	carbapenem; cephalosporin; penicillin beta-lactam	2.00	26.27
BlaB-24	carbapenem; penicillin beta-lactam	2.00	20.13
EC-18	cephalosporin	3.00	39.51
EC-19	cephalosporin	4.00	33.42
EC-8	cephalosporin	1.00	13.23
EC-5	cephalosporin	2.00	26.28
GIL-1	carbapenem; cephalosporin	2.00	28.69
EBR-3	carbapenem; cephalosporin; penicillin beta-lactam	20.00	80.65
EBR-4	carbapenem; cephalosporin; penicillin beta-lactam	2.00	32.06
CDD-2	carbapenem	8.00	6.90
IMI-21	carbapenem	10.00	8.87
IMP-89	carbapenem; cephalosporin; penicillin beta-lactam	1.00	3.51
MOX-14	cephalosporin; penicillin beta-lactam	1.00	12.97
MYO-1	carbapenem	2.00	9.49
OXA-114h	penicillin beta-lactam	5.00	8.94
OXA-491	penicillin beta-lactam	1.00	2.89
OXA-498	carbapenem; penicillin beta-lactam	68.00	98.91
OXA-551	penicillin beta-lactam	2.00	26.13
OXA-534	cephalosporin; penicillin beta-lactam	2.00	36.34
OXA-605	penicillin beta-lactam	2.00	3.59
OXA-643	carbapenem; penicillin beta-lactam	66.00	100.00
