sample	Resistance_Mechanism	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
ERR1726003	antibiotic efflux	22	4	0.18181818181818182	4	0.18181818181818182
ERR1726003	antibiotic inactivation	23	3	0.13043478260869565	3	0.13043478260869565
ERR1726003	antibiotic target alteration	19	1	0.05263157894736842	1	0.05263157894736842
ERR1726003	antibiotic target protection	8	0	0.0	0	0.0
ERR1726003	antibiotic target replacement	1	1	1.0	1	1.0
ERR1726004	antibiotic efflux	10	2	0.2	2	0.2
ERR1726004	antibiotic inactivation	5	0	0.0	0	0.0
ERR1726004	antibiotic target alteration	18	1	0.05555555555555555	1	0.05555555555555555
ERR1726004	antibiotic target protection	5	1	0.2	1	0.2
ERR1726006	antibiotic efflux	18	4	0.2222222222222222	4	0.2222222222222222
ERR1726006	antibiotic inactivation	5	1	0.2	1	0.2
ERR1726006	antibiotic target alteration	14	1	0.07142857142857142	1	0.07142857142857142
ERR1726006	antibiotic target protection	6	0	0.0	0	0.0
ERR1726009	antibiotic efflux	35	2	0.05714285714285714	2	0.05714285714285714
ERR1726009	antibiotic inactivation	21	3	0.14285714285714285	3	0.14285714285714285
ERR1726009	antibiotic target alteration	18	0	0.0	0	0.0
ERR1726009	antibiotic target protection	1	1	1.0	1	1.0
ERR1726009	antibiotic target replacement	1	0	0.0	0	0.0
ERR2729809	antibiotic efflux	57	7	0.12280701754385964	7	0.12280701754385964
ERR2729809	antibiotic inactivation	41	9	0.21951219512195122	9	0.21951219512195122
ERR2729809	antibiotic target alteration	31	0	0.0	0	0.0
ERR2729809	antibiotic target protection	12	2	0.16666666666666666	2	0.16666666666666666
ERR2729809	antibiotic target replacement	3	1	0.3333333333333333	1	0.3333333333333333
ERR9855090	antibiotic efflux	68	21	0.3088235294117647	21	0.3088235294117647
ERR9855090	antibiotic inactivation	67	20	0.29850746268656714	19	0.2835820895522388
ERR9855090	antibiotic target alteration	86	13	0.1511627906976744	13	0.1511627906976744
ERR9855090	antibiotic target protection	10	5	0.5	5	0.5
ERR9855090	antibiotic target replacement	7	2	0.2857142857142857	2	0.2857142857142857
ERR9855090	reduced permeability to antibiotic	2	1	0.5	1	0.5
E_1-2	antibiotic efflux	115	13	0.11304347826086956	13	0.11304347826086956
E_1-2	antibiotic inactivation	70	15	0.21428571428571427	15	0.21428571428571427
E_1-2	antibiotic target alteration	369	8	0.02168021680216802	7	0.018970189701897018
E_1-2	antibiotic target protection	18	7	0.3888888888888889	7	0.3888888888888889
E_1-2	antibiotic target replacement	3	0	0.0	0	0.0
E_1-2	reduced permeability to antibiotic	2	1	0.5	1	0.5
E_11-12	antibiotic efflux	153	21	0.13725490196078433	21	0.13725490196078433
E_11-12	antibiotic inactivation	90	22	0.24444444444444444	21	0.23333333333333334
E_11-12	antibiotic target alteration	323	15	0.04643962848297214	13	0.04024767801857585
E_11-12	antibiotic target protection	33	5	0.15151515151515152	5	0.15151515151515152
E_11-12	antibiotic target replacement	13	5	0.38461538461538464	5	0.38461538461538464
E_11-12	reduced permeability to antibiotic	3	2	0.6666666666666666	2	0.6666666666666666
E_3-4	antibiotic efflux	160	22	0.1375	22	0.1375
E_3-4	antibiotic inactivation	74	17	0.22972972972972974	17	0.22972972972972974
E_3-4	antibiotic target alteration	414	6	0.014492753623188406	6	0.014492753623188406
E_3-4	antibiotic target protection	19	4	0.21052631578947367	4	0.21052631578947367
E_3-4	antibiotic target replacement	5	2	0.4	2	0.4
E_3-4	reduced permeability to antibiotic	3	2	0.6666666666666666	2	0.6666666666666666
E_5-6	antibiotic efflux	242	32	0.1322314049586777	32	0.1322314049586777
E_5-6	antibiotic inactivation	123	24	0.1951219512195122	24	0.1951219512195122
E_5-6	antibiotic target alteration	324	20	0.06172839506172839	18	0.05555555555555555
E_5-6	antibiotic target protection	29	6	0.20689655172413793	6	0.20689655172413793
E_5-6	antibiotic target replacement	14	6	0.42857142857142855	6	0.42857142857142855
E_5-6	reduced permeability to antibiotic	9	2	0.2222222222222222	2	0.2222222222222222
E_7-8	antibiotic efflux	173	23	0.1329479768786127	22	0.12716763005780346
E_7-8	antibiotic inactivation	70	23	0.32857142857142857	23	0.32857142857142857
E_7-8	antibiotic target alteration	397	6	0.015113350125944584	4	0.010075566750629723
E_7-8	antibiotic target protection	22	8	0.36363636363636365	8	0.36363636363636365
E_7-8	antibiotic target replacement	8	3	0.375	3	0.375
E_7-8	reduced permeability to antibiotic	4	1	0.25	1	0.25
E_9-10	antibiotic efflux	111	14	0.12612612612612611	14	0.12612612612612611
E_9-10	antibiotic inactivation	71	13	0.18309859154929578	13	0.18309859154929578
E_9-10	antibiotic target alteration	386	7	0.018134715025906734	6	0.015544041450777202
E_9-10	antibiotic target protection	19	4	0.21052631578947367	4	0.21052631578947367
E_9-10	antibiotic target replacement	4	0	0.0	0	0.0
E_9-10	reduced permeability to antibiotic	3	1	0.3333333333333333	1	0.3333333333333333
I_1-2	antibiotic efflux	233	36	0.15450643776824036	36	0.15450643776824036
I_1-2	antibiotic inactivation	126	25	0.1984126984126984	25	0.1984126984126984
I_1-2	antibiotic target alteration	393	13	0.03307888040712468	13	0.03307888040712468
I_1-2	antibiotic target protection	38	8	0.21052631578947367	8	0.21052631578947367
I_1-2	antibiotic target replacement	15	4	0.26666666666666666	4	0.26666666666666666
I_1-2	reduced permeability to antibiotic	11	3	0.2727272727272727	3	0.2727272727272727
I_11-12	antibiotic efflux	209	25	0.11961722488038277	25	0.11961722488038277
I_11-12	antibiotic inactivation	125	28	0.224	28	0.224
I_11-12	antibiotic target alteration	357	20	0.056022408963585436	18	0.05042016806722689
I_11-12	antibiotic target protection	35	7	0.2	6	0.17142857142857143
I_11-12	antibiotic target replacement	15	4	0.26666666666666666	4	0.26666666666666666
I_11-12	reduced permeability to antibiotic	8	2	0.25	2	0.25
I_3-4	antibiotic efflux	235	35	0.14893617021276595	35	0.14893617021276595
I_3-4	antibiotic inactivation	122	23	0.1885245901639344	23	0.1885245901639344
