sample	cohort_memberships	source_mode	total_ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_like_ARG_loci	plasmid_like_ARG_fraction	virus_like_ARG_loci	virus_like_ARG_fraction	chromosome_like_ARG_loci	chromosome_like_ARG_fraction	canonical10_unique_ARG_loci	canonical10_mobile_ARG_loci	canonical10_mobile_ARG_fraction	canonical10_plasmid_ARG_loci	canonical10_plasmid_ARG_fraction	ARG_10class_Shannon	ARG_10class_richness	ARG_loci__Aminoglycoside	ARG_loci__Beta_lactam	ARG_loci__Fosfomycin	ARG_loci__MLS	ARG_loci__Phenicol	ARG_loci__Quinolone	ARG_loci__Rifamycin	ARG_loci__Sulfonamide	ARG_loci__Tetracycline	ARG_loci__Trimethoprim	ARG_present__Aminoglycoside	ARG_present__Beta_lactam	ARG_present__Fosfomycin	ARG_present__MLS	ARG_present__Phenicol	ARG_present__Quinolone	ARG_present__Rifamycin	ARG_present__Sulfonamide	ARG_present__Tetracycline	ARG_present__Trimethoprim	ARG_locus_fraction__Aminoglycoside	ARG_locus_fraction__Beta_lactam	ARG_locus_fraction__Fosfomycin	ARG_locus_fraction__MLS	ARG_locus_fraction__Phenicol	ARG_locus_fraction__Quinolone	ARG_locus_fraction__Rifamycin	ARG_locus_fraction__Sulfonamide	ARG_locus_fraction__Tetracycline	ARG_locus_fraction__Trimethoprim	mobile_ARG_loci__Aminoglycoside	mobile_ARG_loci__Beta_lactam	mobile_ARG_loci__Fosfomycin	mobile_ARG_loci__MLS	mobile_ARG_loci__Phenicol	mobile_ARG_loci__Quinolone	mobile_ARG_loci__Rifamycin	mobile_ARG_loci__Sulfonamide	mobile_ARG_loci__Tetracycline	mobile_ARG_loci__Trimethoprim	mobile_ARG_fraction__Aminoglycoside	mobile_ARG_fraction__Beta_lactam	mobile_ARG_fraction__Fosfomycin	mobile_ARG_fraction__MLS	mobile_ARG_fraction__Phenicol	mobile_ARG_fraction__Quinolone	mobile_ARG_fraction__Rifamycin	mobile_ARG_fraction__Sulfonamide	mobile_ARG_fraction__Tetracycline	mobile_ARG_fraction__Trimethoprim	plasmid_ARG_loci__Aminoglycoside	plasmid_ARG_loci__Beta_lactam	plasmid_ARG_loci__Fosfomycin	plasmid_ARG_loci__MLS	plasmid_ARG_loci__Phenicol	plasmid_ARG_loci__Quinolone	plasmid_ARG_loci__Rifamycin	plasmid_ARG_loci__Sulfonamide	plasmid_ARG_loci__Tetracycline	plasmid_ARG_loci__Trimethoprim	plasmid_ARG_fraction__Aminoglycoside	plasmid_ARG_fraction__Beta_lactam	plasmid_ARG_fraction__Fosfomycin	plasmid_ARG_fraction__MLS	plasmid_ARG_fraction__Phenicol	plasmid_ARG_fraction__Quinolone	plasmid_ARG_fraction__Rifamycin	plasmid_ARG_fraction__Sulfonamide	plasmid_ARG_fraction__Tetracycline	plasmid_ARG_fraction__Trimethoprim
ERR1713332	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	83	83	1.0	36	0.43373493975903615	1	0.012048192771084338	46	0.5542168674698795	33	33	1.0	21	0.6363636363636364	1.5754793067010895	6	6	10	3	10	0	1	0	0	3	0	1	1	1	1	0	1	0	0	1	0	0.18181818181818182	0.30303030303030304	0.09090909090909091	0.30303030303030304	0.0	0.030303030303030304	0.0	0.0	0.09090909090909091	0.0	6	10	3	10	0	1	0	0	3	0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	5	5	0	10	0	0	0	0	1	0	0.8333333333333334	0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0
ERR1713334	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	179	179	1.0	92	0.5139664804469274	6	0.0335195530726257	81	0.45251396648044695	67	67	1.0	51	0.7611940298507462	1.8740047404925566	8	9	20	1	19	8	18	8	0	29	0	1	1	1	1	1	1	1	0	1	0	0.08035714285714286	0.17857142857142858	0.008928571428571428	0.16964285714285715	0.07142857142857142	0.16071428571428573	0.07142857142857142	0.0	0.25892857142857145	0.0	9	20	1	19	8	18	8	0	29	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	8	13	1	16	5	10	5	0	19	0	0.8888888888888888	0.65	1.0	0.8421052631578947	0.625	0.5555555555555556	0.625	0.0	0.6551724137931034	0.0
ERR1713335	Batch02_10countries_USA11	strict_perfect	142	142	1.0	73	0.5140845070422535	8	0.056338028169014086	61	0.4295774647887324	72	72	1.0	51	0.7083333333333334	1.9531785338053183	9	10	22	3	19	8	18	6	0	24	1	1	1	1	1	1	1	1	0	1	1	0.09009009009009009	0.1981981981981982	0.02702702702702703	0.17117117117117117	0.07207207207207207	0.16216216216216217	0.05405405405405406	0.0	0.21621621621621623	0.009009009009009009	10	22	3	19	8	18	6	0	24	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8	18	1	15	6	9	4	0	14	1	0.8	0.8181818181818182	0.3333333333333333	0.7894736842105263	0.75	0.5	0.6666666666666666	0.0	0.5833333333333334	1.0
ERR1713337	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	211	211	1.0	66	0.3127962085308057	6	0.02843601895734597	139	0.6587677725118484	87	87	1.0	41	0.47126436781609193	1.8443831471114673	10	7	24	1	17	11	30	7	1	43	1	1	1	1	1	1	1	1	1	1	1	0.04929577464788732	0.16901408450704225	0.007042253521126761	0.11971830985915492	0.07746478873239436	0.2112676056338028	0.04929577464788732	0.007042253521126761	0.3028169014084507	0.007042253521126761	7	24	1	17	11	30	7	1	43	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5	12	0	9	7	7	3	1	12	1	0.7142857142857143	0.5	0.0	0.5294117647058824	0.6363636363636364	0.23333333333333334	0.42857142857142855	1.0	0.27906976744186046	1.0
ERR1713339	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	16	16	1.0	8	0.5	1	0.0625	7	0.4375	7	7	1.0	6	0.8571428571428571	0.410116318288409	2	0	0	0	6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0.0	0.0	0.0	0.8571428571428571	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0	0	0	6	0	0	0	0	1	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	0	5	0	0	0	0	1	0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	1.0	0.0
ERR1713343	Batch02_10countries_USA11	strict_perfect	55	55	1.0	27	0.4909090909090909	1	0.01818181818181818	27	0.4909090909090909	22	22	1.0	17	0.7727272727272727	1.6275675167401704	6	4	3	0	7	1	3	0	0	8	0	1	1	0	1	1	1	0	0	1	0	0.15384615384615385	0.11538461538461539	0.0	0.2692307692307692	0.038461538461538464	0.11538461538461539	0.0	0.0	0.3076923076923077	0.0	4	3	0	7	1	3	0	0	8	0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	3	2	0	6	1	1	0	0	6	0	0.75	0.6666666666666666	0.0	0.8571428571428571	1.0	0.3333333333333333	0.0	0.0	0.75	0.0
ERR1713344	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	207	207	1.0	74	0.357487922705314	10	0.04830917874396135	123	0.5942028985507246	99	99	1.0	66	0.6666666666666666	1.8548159354483555	10	9	13	2	23	8	30	4	1	43	3	1	1	1	1	1	1	1	1	1	1	0.0661764705882353	0.09558823529411764	0.014705882352941176	0.16911764705882354	0.058823529411764705	0.22058823529411764	0.029411764705882353	0.007352941176470588	0.3161764705882353	0.022058823529411766	9	13	2	23	8	30	4	1	43	3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8	9	1	19	3	10	2	1	20	2	0.8888888888888888	0.6923076923076923	0.5	0.8260869565217391	0.375	0.3333333333333333	0.5	1.0	0.46511627906976744	0.6666666666666666
ERR1713346	Batch03_Global10	strict_perfect	193	21	0.10880829015544041	20	0.10362694300518134	1	0.0051813471502590676	172	0.8911917098445595	82	16	0.1951219512195122	15	0.18292682926829268	1.9887756946232642	10	10	28	2	25	13	32	11	1	33	4	1	1	1	1	1	1	1	1	1	1	0.06289308176100629	0.1761006289308176	0.012578616352201259	0.15723270440251572	0.08176100628930817	0.20125786163522014	0.06918238993710692	0.006289308176100629	0.20754716981132076	0.025157232704402517	3	4	0	1	3	6	2	1	5	1	0.3	0.14285714285714285	0.0	0.04	0.23076923076923078	0.1875	0.18181818181818182	1.0	0.15151515151515152	0.25	3	3	0	1	3	6	2	1	5	1	0.3	0.10714285714285714	0.0	0.04	0.23076923076923078	0.1875	0.18181818181818182	1.0	0.15151515151515152	0.25
ERR1713348	Batch01_Clean21_USA_Chicago11	strict_perfect	80	7	0.0875	7	0.0875	0	0.0	73	0.9125	37	5	0.13513513513513514	5	0.13513513513513514	1.8482838291795163	8	4	11	1	12	3	10	3	0	14	0	1	1	1	1	1	1	1	0	1	0	0.06896551724137931	0.1896551724137931	0.017241379310344827	0.20689655172413793	0.05172413793103448	0.1724137931034483	0.05172413793103448	0.0	0.2413793103448276	0.0	0	2	0	1	1	2	1	0	3	0	0.0	0.18181818181818182	0.0	0.08333333333333333	0.3333333333333333	0.2	0.3333333333333333	0.0	0.21428571428571427	0.0	0	2	0	1	1	2	1	0	3	0	0.0	0.18181818181818182	0.0	0.08333333333333333	0.3333333333333333	0.2	0.3333333333333333	0.0	0.21428571428571427	0.0
ERR1713349	Batch02_10countries_USA11	strict_perfect	278	278	1.0	115	0.4136690647482014	10	0.03597122302158273	153	0.5503597122302158	95	95	1.0	63	0.6631578947368421	1.9758191973758277	9	10	25	7	25	13	36	6	0	37	5	1	1	1	1	1	1	1	0	1	1	0.06097560975609756	0.1524390243902439	0.042682926829268296	0.1524390243902439	0.07926829268292683	0.21951219512195122	0.036585365853658534	0.0	0.22560975609756098	0.03048780487804878	10	25	7	25	13	36	6	0	37	5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	9	17	4	20	7	18	4	0	20	2	0.9	0.68	0.5714285714285714	0.8	0.5384615384615384	0.5	0.6666666666666666	0.0	0.5405405405405406	0.4
