sample	Best_Hit_ARO	ARO	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
2019_SRR28226461	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	3003889	1	0	0.0	0	0.0
2019_SRR28226461	Escherichia coli acrA	3004043	1	0	0.0	0	0.0
2019_SRR28226461	Escherichia coli gyrA conferring resistance to fluoroquinolones	3003294	1	1	1.0	0	0.0
2019_SRR28226461	Escherichia coli soxR with mutation conferring antibiotic resistance	3003381	1	0	0.0	0	0.0
2019_SRR28226461	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	3	0	0.0	0	0.0
2019_SRR28226461	FONA-6	3004793	1	0	0.0	0	0.0
2019_SRR28226461	FosA4	3003210	1	0	0.0	0	0.0
2019_SRR28226461	FosG	3007368	1	0	0.0	0	0.0
2019_SRR28226461	FosI	3007370	2	0	0.0	0	0.0
2019_SRR28226461	GES-5	3002334	1	0	0.0	0	0.0
2019_SRR28226461	H-NS	3000676	1	0	0.0	0	0.0
2019_SRR28226461	ICR-Mo	3004569	1	0	0.0	0	0.0
2019_SRR28226461	KPC-2	3002312	1	0	0.0	0	0.0
2019_SRR28226461	Klebsiella pneumoniae KpnE	3004580	2	0	0.0	0	0.0
2019_SRR28226461	Klebsiella pneumoniae KpnF	3004583	1	0	0.0	0	0.0
2019_SRR28226461	Klebsiella pneumoniae KpnG	3004588	1	0	0.0	0	0.0
2019_SRR28226461	Klebsiella pneumoniae KpnH	3004597	1	0	0.0	0	0.0
2019_SRR28226461	LCR-1	3002997	1	0	0.0	0	0.0
2019_SRR28226461	LnuH	3004600	1	0	0.0	0	0.0
2019_SRR28226461	MOX-9	3002191	1	0	0.0	0	0.0
2019_SRR28226461	Mef(En2)	3004659	1	0	0.0	0	0.0
2019_SRR28226461	Morganella morganii gyrB conferring resistance to fluoroquinolones	3003306	1	0	0.0	0	0.0
2019_SRR28226461	Mrx	3003839	2	1	0.5	1	0.5
2019_SRR28226461	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	3003395	4	0	0.0	0	0.0
2019_SRR28226461	OXA-1	3001396	1	0	0.0	0	0.0
2019_SRR28226461	OXA-129	3001811	1	0	0.0	0	0.0
2019_SRR28226461	OXA-17	3001412	1	0	0.0	0	0.0
2019_SRR28226461	OXA-211	3001710	1	0	0.0	0	0.0
2019_SRR28226461	OXA-275	3001731	1	1	1.0	1	1.0
2019_SRR28226461	OXA-296	3001751	1	0	0.0	0	0.0
2019_SRR28226461	OXA-347	3001777	1	1	1.0	1	1.0
2019_SRR28226461	OXA-50	3001796	1	1	1.0	1	1.0
2019_SRR28226461	OXA-58	3001611	1	0	0.0	0	0.0
2019_SRR28226461	OXA-780	3005983	1	0	0.0	0	0.0
2019_SRR28226461	OXA-917	3006103	1	0	0.0	0	0.0
2019_SRR28226461	PAU-1	3006964	1	0	0.0	0	0.0
2019_SRR28226461	PRC-1	3007085	1	0	0.0	0	0.0
2019_SRR28226461	PmrF	3003578	1	0	0.0	0	0.0
2019_SRR28226461	QnrB19	3002734	1	0	0.0	0	0.0
2019_SRR28226461	QnrD1	3002788	1	0	0.0	0	0.0
2019_SRR28226461	QnrS2	3002791	1	1	1.0	1	1.0
2019_SRR28226461	QnrVC4	3002801	1	0	0.0	0	0.0
2019_SRR28226461	Streptomyces rimosus otr(A)	3002891	1	0	0.0	0	0.0
2019_SRR28226461	VEB-1	3002370	1	1	1.0	1	1.0
2019_SRR28226461	VIM-2	3002272	1	0	0.0	0	0.0
2019_SRR28226461	aad(6)	3002628	1	0	0.0	0	0.0
2019_SRR28226461	aadA11	3002611	1	0	0.0	0	0.0
2019_SRR28226461	aadA16	3002616	1	0	0.0	0	0.0
2019_SRR28226461	aadA27	3004682	1	1	1.0	1	1.0
2019_SRR28226461	aadA3	3002603	1	0	0.0	0	0.0
2019_SRR28226461	aadA5	3002605	1	1	1.0	1	1.0
2019_SRR28226461	aadA7	3002607	1	0	0.0	0	0.0
2019_SRR28226461	aadS	3004683	2	0	0.0	0	0.0
2019_SRR28226461	adeF	3000777	59	4	0.06779661016949153	4	0.06779661016949153
2019_SRR28226461	aphA15	3004675	1	0	0.0	0	0.0
2019_SRR28226461	catB3	3002676	1	0	0.0	0	0.0
2019_SRR28226461	cepA	3003559	1	0	0.0	0	0.0
2019_SRR28226461	cmlA5	3002695	1	1	1.0	1	1.0
2019_SRR28226461	dfrA3	3003105	1	0	0.0	0	0.0
2019_SRR28226461	dfrF	3002867	1	0	0.0	0	0.0
2019_SRR28226461	emrB	3000074	1	1	1.0	1	1.0
2019_SRR28226461	emrR	3000516	2	1	0.5	1	0.5
2019_SRR28226461	imiH	3003094	1	0	0.0	0	0.0
2019_SRR28226461	kdpE	3003841	1	0	0.0	0	0.0
2019_SRR28226461	leuO	3003843	1	0	0.0	0	0.0
2019_SRR28226461	lnuB	3002836	1	1	1.0	1	1.0
2019_SRR28226461	lnuC	3002837	1	0	0.0	0	0.0
2019_SRR28226461	lsaE	3003206	1	1	1.0	1	1.0
2019_SRR28226461	marA	3000263	2	0	0.0	0	0.0
2019_SRR28226461	mdeA	3007011	1	0	0.0	0	0.0
2019_SRR28226461	mefF	3007044	1	0	0.0	0	0.0
2019_SRR28226461	mefJ	3007049	1	0	0.0	0	0.0
2019_SRR28226461	mphA	3000316	2	1	0.5	1	0.5
2019_SRR28226461	mphE	3003741	1	1	1.0	1	1.0
2019_SRR28226461	mphF	3003071	1	1	1.0	1	1.0
2019_SRR28226461	mphG	3003742	3	0	0.0	0	0.0
2019_SRR28226461	msbA	3003950	1	0	0.0	0	0.0
2019_SRR28226461	msrE	3003109	1	1	1.0	1	1.0
2019_SRR28226461	nimA	3007104	1	0	0.0	0	0.0
2019_SRR28226461	nimJ	3007112	1	0	0.0	0	0.0
2019_SRR28226461	oqxA	3003922	1	0	0.0	0	0.0
2019_SRR28226461	qacEdelta1	3005010	1	0	0.0	0	0.0
2019_SRR28226461	qacG	3007015	22	2	0.09090909090909091	2	0.09090909090909091
2019_SRR28226461	qacJ	3007014	32	3	0.09375	3	0.09375
2019_SRR28226461	rsmA	3005069	8	0	0.0	0	0.0
2019_SRR28226461	sul1	3000410	1	0	0.0	0	0.0
2019_SRR28226461	tet(32)	3000196	1	0	0.0	0	0.0
2019_SRR28226461	tet(36)	3000197	1	0	0.0	0	0.0
2019_SRR28226461	tet(39)	3000566	1	1	1.0	1	1.0
2019_SRR28226461	tet(40)	3000567	1	0	0.0	0	0.0
2019_SRR28226461	tet(44)	3000556	1	0	0.0	0	0.0
2019_SRR28226461	tet(A)	3000165	1	0	0.0	0	0.0
2019_SRR28226461	tet(C)	3000167	1	0	0.0	0	0.0
2019_SRR28226461	tet(M)	3000186	1	0	0.0	0	0.0
