sample	common_class	ARG_loci	ARG_present	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction	virus_ARG_loci	virus_ARG_fraction	chromosome_ARG_loci	chromosome_ARG_fraction	ARG_locus_fraction
2022_SRR28226418	Fosfomycin	9	1	0	0.0	0	0.0	0	0.0	9	1.0	0.04390243902439024
2022_SRR28226418	MLS	23	1	7	0.30434782608695654	7	0.30434782608695654	0	0.0	16	0.6956521739130435	0.11219512195121951
2022_SRR28226418	Phenicol	10	1	1	0.1	1	0.1	0	0.0	9	0.9	0.04878048780487805
2022_SRR28226418	Quinolone	52	1	4	0.07692307692307693	4	0.07692307692307693	0	0.0	48	0.9230769230769231	0.25365853658536586
2022_SRR28226418	Rifamycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2022_SRR28226418	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2022_SRR28226418	Tetracycline	53	1	4	0.07547169811320754	4	0.07547169811320754	0	0.0	49	0.9245283018867925	0.25853658536585367
2022_SRR28226418	Trimethoprim	8	1	0	0.0	0	0.0	0	0.0	8	1.0	0.03902439024390244
2023_SRR37365438	Aminoglycoside	27	1	7	0.25925925925925924	7	0.25925925925925924	0	0.0	20	0.7407407407407407	0.07605633802816901
2023_SRR37365438	Beta-lactam	54	1	13	0.24074074074074073	13	0.24074074074074073	0	0.0	41	0.7592592592592593	0.15211267605633802
2023_SRR37365438	Fosfomycin	11	1	1	0.09090909090909091	1	0.09090909090909091	0	0.0	10	0.9090909090909091	0.030985915492957747
2023_SRR37365438	MLS	35	1	8	0.22857142857142856	8	0.22857142857142856	0	0.0	27	0.7714285714285715	0.09859154929577464
2023_SRR37365438	Phenicol	22	1	4	0.18181818181818182	4	0.18181818181818182	0	0.0	18	0.8181818181818182	0.061971830985915494
2023_SRR37365438	Quinolone	89	1	14	0.15730337078651685	13	0.14606741573033707	1	0.011235955056179775	75	0.8426966292134831	0.2507042253521127
2023_SRR37365438	Rifamycin	17	1	7	0.4117647058823529	7	0.4117647058823529	0	0.0	10	0.5882352941176471	0.04788732394366197
