sample	cohort_memberships	mode	source_file
ERR1713359	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/ARG_Mobility_Overlap/ERR1713359/ERR1713359_strict_perfect_overlap.tsv
ERR1713361	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/ARG_Mobility_Overlap/ERR1713361/ERR1713361_strict_perfect_overlap.tsv
ERR1713362	Batch02_10countries_USA11;Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713362/ERR1713362_strict_perfect_overlap.tsv
ERR1713365	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/ARG_Mobility_Overlap/ERR1713365/ERR1713365_strict_perfect_overlap.tsv
ERR1713366	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1713366/ARG_mobility_overlap/ERR1713366_strict_perfect_overlap.tsv
ERR1713367	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1713367/ERR1713367_strict_perfect_overlap.tsv
ERR1713368	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1713368/ARG_mobility_overlap/ERR1713368_strict_perfect_overlap.tsv
ERR1713369	Hendriksen_Sensitivity_Aggregate;Selected8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/ARG_Mobility_Overlap/ERR1713369/ERR1713369_strict_perfect_overlap.tsv
ERR1713370	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1713370/ERR1713370_strict_perfect_overlap.tsv
ERR1713371	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1713371/ARG_mobility_overlap/ERR1713371_strict_perfect_overlap.tsv
ERR1713372	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1713372/ERR1713372_strict_perfect_overlap.tsv
ERR1713379	Batch02_10countries_USA11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713379/ERR1713379_strict_perfect_overlap.tsv
ERR1713381	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1713381/ARG_mobility_overlap/ERR1713381_strict_perfect_overlap.tsv
ERR1713382	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1713382/ERR1713382_strict_perfect_overlap.tsv
ERR1713384	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1713384/ARG_mobility_overlap/ERR1713384_strict_perfect_overlap.tsv
ERR1713385	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1713385/ERR1713385_strict_perfect_overlap.tsv
ERR1713386	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1713386/ERR1713386_strict_perfect_overlap.tsv
ERR1713394	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1713394/ARG_mobility_overlap/ERR1713394_strict_perfect_overlap.tsv
ERR1713397	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/ERR1713397/ERR1713397_strict_perfect_overlap.tsv
ERR1713398	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/ERR1713398/ERR1713398_strict_perfect_overlap.tsv
ERR1713399	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1713399/ERR1713399_strict_perfect_overlap.tsv
ERR1713400	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/ERR1713400/ERR1713400_strict_perfect_overlap.tsv
ERR1713403	Batch02_10countries_USA11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch02_10countries_plus_USA_alt11/ARG_Mobility_Overlap/ERR1713403/ERR1713403_strict_perfect_overlap.tsv
ERR1713405	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/ERR1713405/ERR1713405_strict_perfect_overlap.tsv
ERR1713406	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/ERR1713406/ERR1713406_strict_perfect_overlap.tsv
ERR1713407	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1713407/ARG_mobility_overlap/ERR1713407_strict_perfect_overlap.tsv
ERR1713408	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1713408/ARG_mobility_overlap/ERR1713408_strict_perfect_overlap.tsv
ERR1713409	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1713409/ERR1713409_strict_perfect_overlap.tsv
ERR1713410	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1713410/ERR1713410_strict_perfect_overlap.tsv
ERR1725938	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1725938/ERR1725938_strict_perfect_overlap.tsv
ERR1725947	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_pilot8/ARG_Mobility_Overlap/ERR1725947/ERR1725947_strict_perfect_overlap.tsv
ERR1725952	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1725952/ERR1725952_strict_perfect_overlap.tsv
ERR1725962	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_pilot8/ARG_Mobility_Overlap/ERR1725962/ERR1725962_strict_perfect_overlap.tsv
ERR1725965	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1725965/ERR1725965_strict_perfect_overlap.tsv
ERR1725966	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1725966/ERR1725966_strict_perfect_overlap.tsv
ERR1725973	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1725973/ERR1725973_strict_perfect_overlap.tsv
ERR1725975	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1725975/ERR1725975_strict_perfect_overlap.tsv
ERR1725976	Batch01_Clean21_USA_Chicago11	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_clean21_plus_USA_chicago_11/ARG_Mobility_Overlap/ERR1725976/ERR1725976_strict_perfect_overlap.tsv
ERR1725980	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1725980/ERR1725980_strict_perfect_overlap.tsv
ERR1725981	Batch03_Global10	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch03_global10/ARG_Mobility_Overlap/ERR1725981/ERR1725981_strict_perfect_overlap.tsv
ERR1725987	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1725987/ARG_mobility_overlap/ERR1725987_strict_perfect_overlap.tsv
ERR1725989	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1725989/ARG_mobility_overlap/ERR1725989_strict_perfect_overlap.tsv
ERR1725991	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1725991/ARG_mobility_overlap/ERR1725991_strict_perfect_overlap.tsv
ERR1725993	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1725993/ARG_mobility_overlap/ERR1725993_strict_perfect_overlap.tsv
ERR1725995	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1725995/ARG_mobility_overlap/ERR1725995_strict_perfect_overlap.tsv
