set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_batch03_global10	ERR1713385	oxazolidinone antibiotic	1	0
RM2016_batch03_global10	ERR1713385	penam	29	7
RM2016_batch03_global10	ERR1713385	penem	3	2
RM2016_batch03_global10	ERR1713385	peptide antibiotic	8	1
RM2016_batch03_global10	ERR1713385	phenicol antibiotic	16	4
RM2016_batch03_global10	ERR1713385	phosphonic acid antibiotic	5	0
RM2016_batch03_global10	ERR1713385	rifamycin antibiotic	9	2
RM2016_batch03_global10	ERR1713385	streptogramin A antibiotic	3	0
RM2016_batch03_global10	ERR1713385	streptogramin B antibiotic	3	0
RM2016_batch03_global10	ERR1713385	streptogramin antibiotic	4	0
RM2016_batch03_global10	ERR1713385	sulfonamide antibiotic	1	0
RM2016_batch03_global10	ERR1713385	tetracycline antibiotic	29	6
RM2016_batch03_global10	ERR1713386	aminocoumarin antibiotic	7	3
RM2016_batch03_global10	ERR1713386	aminoglycoside antibiotic	26	6
RM2016_batch03_global10	ERR1713386	carbapenem	21	2
RM2016_batch03_global10	ERR1713386	cephalosporin	61	9
RM2016_batch03_global10	ERR1713386	cephamycin	23	3
RM2016_batch03_global10	ERR1713386	diaminopyrimidine antibiotic	10	1
RM2016_batch03_global10	ERR1713386	disinfecting agents and antiseptics	76	14
RM2016_batch03_global10	ERR1713386	elfamycin antibiotic	2	0
RM2016_batch03_global10	ERR1713386	fluoroquinolone antibiotic	96	19
RM2016_batch03_global10	ERR1713386	glycopeptide antibiotic	53	1
RM2016_batch03_global10	ERR1713386	glycylcycline	22	5
RM2016_batch03_global10	ERR1713386	lincosamide antibiotic	9	5
RM2016_batch03_global10	ERR1713386	macrolide antibiotic	40	6
RM2016_batch03_global10	ERR1713386	monobactam	9	1
RM2016_batch03_global10	ERR1713386	nitroimidazole antibiotic	9	1
RM2016_batch03_global10	ERR1713386	nucleoside antibiotic	8	2
RM2016_batch03_global10	ERR1713386	penam	65	6
RM2016_batch03_global10	ERR1713386	penem	9	1
RM2016_batch03_global10	ERR1713386	peptide antibiotic	31	4
RM2016_batch03_global10	ERR1713386	phenicol antibiotic	31	7
RM2016_batch03_global10	ERR1713386	phosphonic acid antibiotic	7	2
RM2016_batch03_global10	ERR1713386	pleuromutilin antibiotic	1	1
RM2016_batch03_global10	ERR1713386	rifamycin antibiotic	31	7
RM2016_batch03_global10	ERR1713386	streptogramin A antibiotic	2	1
RM2016_batch03_global10	ERR1713386	streptogramin B antibiotic	3	2
RM2016_batch03_global10	ERR1713386	streptogramin antibiotic	5	3
RM2016_batch03_global10	ERR1713386	sulfonamide antibiotic	2	0
RM2016_batch03_global10	ERR1713386	tetracycline antibiotic	83	19
RM2016_batch03_global10	ERR1725938	aminoglycoside antibiotic	10	5
RM2016_batch03_global10	ERR1725938	carbapenem	5	1
RM2016_batch03_global10	ERR1725938	cephalosporin	6	1
RM2016_batch03_global10	ERR1725938	cephamycin	1	0
RM2016_batch03_global10	ERR1725938	disinfecting agents and antiseptics	15	3
RM2016_batch03_global10	ERR1725938	fluoroquinolone antibiotic	7	2
RM2016_batch03_global10	ERR1725938	glycopeptide antibiotic	18	1
RM2016_batch03_global10	ERR1725938	glycylcycline	2	0
RM2016_batch03_global10	ERR1725938	lincosamide antibiotic	2	1
RM2016_batch03_global10	ERR1725938	macrolide antibiotic	8	3
RM2016_batch03_global10	ERR1725938	nucleoside antibiotic	1	0
RM2016_batch03_global10	ERR1725938	penam	7	1
RM2016_batch03_global10	ERR1725938	phenicol antibiotic	1	0
RM2016_batch03_global10	ERR1725938	phosphonic acid antibiotic	2	0
RM2016_batch03_global10	ERR1725938	rifamycin antibiotic	1	0
RM2016_batch03_global10	ERR1725938	streptogramin A antibiotic	2	1
RM2016_batch03_global10	ERR1725938	streptogramin B antibiotic	2	1
RM2016_batch03_global10	ERR1725938	streptogramin antibiotic	4	2
RM2016_batch03_global10	ERR1725938	sulfonamide antibiotic	1	1
RM2016_batch03_global10	ERR1725938	tetracycline antibiotic	13	3
RM2016_batch03_global10	ERR1725952	carbapenem	1	0
RM2016_batch03_global10	ERR1725952	cephalosporin	1	0
RM2016_batch03_global10	ERR1725952	glycopeptide antibiotic	2	0
RM2016_batch03_global10	ERR1725952	macrolide antibiotic	2	0
RM2016_batch03_global10	ERR1725952	penam	1	0
RM2016_batch03_global10	ERR1725952	streptogramin antibiotic	1	0
RM2016_batch03_global10	ERR1725952	tetracycline antibiotic	2	0
RM2016_batch03_global10	ERR1725965	aminoglycoside antibiotic	6	2
RM2016_batch03_global10	ERR1725965	carbapenem	4	1
RM2016_batch03_global10	ERR1725965	cephalosporin	5	1
RM2016_batch03_global10	ERR1725965	disinfecting agents and antiseptics	6	1
RM2016_batch03_global10	ERR1725965	elfamycin antibiotic	1	0
