sample_id	stage	relative_path	file_name	bytes	sha256	status
ERR1713346	FASTP	FASTP/ERR1713346/ERR1713346.fastp.json	ERR1713346.fastp.json	140797	cb40a79f3da6ea69526f120b53906785390d5022b73a8b39f6eaf8f3f4823265	PASS
ERR1713346	Bowtie2	Bowtie2/ERR1713346/ERR1713346.bowtie2.log	ERR1713346.bowtie2.log	625	332d1a7ba43354dcc28f1fdaa3937dab8d2d849e12e5aae82f920d1b0df246ae	PASS
ERR1713346	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713346/ERR1713346_rgi_bwt.gene_mapping_data.txt	ERR1713346_rgi_bwt.gene_mapping_data.txt	139535	2ac7d7c47eac023e9d25cce1603d67fee6dcc0debb295a1b4fddfed03e9484c0	PASS
ERR1713346	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713346/ERR1713346_rgi_bwt.overall_mapping_stats.txt	ERR1713346_rgi_bwt.overall_mapping_stats.txt	518	8fac38cd73aacd2de0c973467db110cb013eac8060c40fd07e54bff1db07fdf7	PASS
ERR1713346	CARD_RGI_Main	CARD_RGI_Main/ERR1713346/ERR1713346_rgi_main_compact.tsv	ERR1713346_rgi_main_compact.tsv	81713	6b81356373242b4b176819e479e06651a6b9c09792238090217872910cb6a8a2	PASS
ERR1713346	DIAMOND_CARD	DIAMOND_CARD/ERR1713346/ERR1713346_diamond_card_merged.tsv.gz	ERR1713346_diamond_card_merged.tsv.gz	1268144	1f425a01741fbd63eb5aedc8ab5613b25e420d01cb979a786968170c71244f23	PASS
ERR1713346	geNomAD	geNomAD/ERR1713346/ERR1713346.contigs_plasmid_summary.tsv	ERR1713346.contigs_plasmid_summary.tsv	51444	aa50fc4c9bd26d1e7c716b493e9eeb8be27521a182abfeb29af5dddc45c24aa1	PASS
ERR1713346	geNomAD	geNomAD/ERR1713346/ERR1713346.contigs_virus_summary.tsv	ERR1713346.contigs_virus_summary.tsv	748846	f1315d982e28f45a1dc8c590c6982e4545ff00195f9e0213949af51f65fbfd22	PASS
ERR1713346	Assembly	Assembly/ERR1713346/ERR1713346_assembly_metrics.tsv	ERR1713346_assembly_metrics.tsv	232	59debd2e93703c657c24d5c9002bd1638caed959c55c21947402e69009989231	PASS
ERR1713346	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713346/ERR1713346_drug_class_summary.tsv	ERR1713346_drug_class_summary.tsv	1753	f50fbced6e9c6b403044a5158909ff72286db0b95fd197a76ee91325bf1a71a6	PASS
ERR1713346	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713346/ERR1713346_sample_summary.tsv	ERR1713346_sample_summary.tsv	374	0ba08d99f3dc4c200b45ab1f655b6ea9ac9d40c0de91add4d61f2f43a1366a28	PASS
ERR1713346	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713346/ERR1713346_strict_perfect_overlap.tsv	ERR1713346_strict_perfect_overlap.tsv	74949	2bb646d03525a71dff9eec44a356ce779a1465ae92e7cd4b75ac9f583e4fff33	PASS
ERR1713346	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713346/ERR1713346_strict_perfect_sample_summary.tsv	ERR1713346_strict_perfect_sample_summary.tsv	344	98a06e572dc991a4cc57cbcb84bb641a4af80185f262b1b6661a9918c21a69e2	PASS
ERR1713370	FASTP	FASTP/ERR1713370/ERR1713370.fastp.json	ERR1713370.fastp.json	141186	c2903a406c5eaabb8aa8783c00b10ed34838b8a74a3e58398894ee0d87454ded	PASS
ERR1713370	Bowtie2	Bowtie2/ERR1713370/ERR1713370.bowtie2.log	ERR1713370.bowtie2.log	627	a766ff05fbfa4727ef42a115d4a9e9393fc160d0fe3ef301500e0eb13bd771da	PASS
ERR1713370	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713370/ERR1713370_rgi_bwt.gene_mapping_data.txt	ERR1713370_rgi_bwt.gene_mapping_data.txt	177672	5ed333455943f736511d56893edcf30cbac7eb4c8d9f69a4a44696e80289ac66	PASS
ERR1713370	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713370/ERR1713370_rgi_bwt.overall_mapping_stats.txt	ERR1713370_rgi_bwt.overall_mapping_stats.txt	519	92f6f7eafb0161acbfe5ee99161e38d6b8c977ed8f34d10f813fa40d923c7d45	PASS
ERR1713370	CARD_RGI_Main	CARD_RGI_Main/ERR1713370/ERR1713370_rgi_main_compact.tsv	ERR1713370_rgi_main_compact.tsv	124252	0337727f9597de346ad09fa84c807ab9b83a8cd2176e5f272302c3008c5c9dea	PASS
ERR1713370	DIAMOND_CARD	DIAMOND_CARD/ERR1713370/ERR1713370_diamond_card_merged.tsv.gz	ERR1713370_diamond_card_merged.tsv.gz	2728200	925e3e38a33b36881f7fdd38e9091b7bea7e4c6f01204703595df21e3c56f2b3	PASS
ERR1713370	geNomAD	geNomAD/ERR1713370/ERR1713370.contigs_plasmid_summary.tsv	ERR1713370.contigs_plasmid_summary.tsv	79060	ff8fba435ce40b3c35a56b491b8d4af7032999990b0fbdf8523e9fc4f6f8ddcc	PASS
ERR1713370	geNomAD	geNomAD/ERR1713370/ERR1713370.contigs_virus_summary.tsv	ERR1713370.contigs_virus_summary.tsv	703867	dfcec99ae8cfae47bdc483fba74acfe20ad2bdf169551eefad1bc312553eb52b	PASS
ERR1713370	Assembly	Assembly/ERR1713370/ERR1713370_assembly_metrics.tsv	ERR1713370_assembly_metrics.tsv	233	bb0277e139c7e03f7e00d45dcc35132c1fc09e02f039e8b2943394e1634915a2	PASS
ERR1713370	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713370/ERR1713370_drug_class_summary.tsv	ERR1713370_drug_class_summary.tsv	1753	00a41812a0e4fd0392986fcc921174f8c226a7a54c9f711b3b856fb4e4dbca68	PASS
