set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_USA_crossstudy_additional8	ERR1713405	cephamycin	15	3
RM2016_USA_crossstudy_additional8	ERR1713405	diaminopyrimidine antibiotic	6	0
RM2016_USA_crossstudy_additional8	ERR1713405	disinfecting agents and antiseptics	71	12
RM2016_USA_crossstudy_additional8	ERR1713405	elfamycin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713405	fluoroquinolone antibiotic	45	5
RM2016_USA_crossstudy_additional8	ERR1713405	glycopeptide antibiotic	163	0
RM2016_USA_crossstudy_additional8	ERR1713405	glycylcycline	15	3
RM2016_USA_crossstudy_additional8	ERR1713405	lincosamide antibiotic	10	4
RM2016_USA_crossstudy_additional8	ERR1713405	macrolide antibiotic	29	8
RM2016_USA_crossstudy_additional8	ERR1713405	monobactam	7	2
RM2016_USA_crossstudy_additional8	ERR1713405	nitroimidazole antibiotic	5	0
RM2016_USA_crossstudy_additional8	ERR1713405	nucleoside antibiotic	5	2
RM2016_USA_crossstudy_additional8	ERR1713405	penam	38	6
RM2016_USA_crossstudy_additional8	ERR1713405	penem	7	2
RM2016_USA_crossstudy_additional8	ERR1713405	peptide antibiotic	6	2
RM2016_USA_crossstudy_additional8	ERR1713405	phenicol antibiotic	20	3
RM2016_USA_crossstudy_additional8	ERR1713405	phosphonic acid antibiotic	11	1
RM2016_USA_crossstudy_additional8	ERR1713405	pleuromutilin antibiotic	1	1
RM2016_USA_crossstudy_additional8	ERR1713405	rifamycin antibiotic	17	3
RM2016_USA_crossstudy_additional8	ERR1713405	streptogramin A antibiotic	3	1
RM2016_USA_crossstudy_additional8	ERR1713405	streptogramin B antibiotic	3	1
RM2016_USA_crossstudy_additional8	ERR1713405	streptogramin antibiotic	6	4
RM2016_USA_crossstudy_additional8	ERR1713405	tetracycline antibiotic	54	8
RM2016_USA_crossstudy_additional8	ERR1713406	aminoglycoside antibiotic	14	6
RM2016_USA_crossstudy_additional8	ERR1713406	carbapenem	13	2
RM2016_USA_crossstudy_additional8	ERR1713406	cephalosporin	19	2
RM2016_USA_crossstudy_additional8	ERR1713406	cephamycin	4	1
RM2016_USA_crossstudy_additional8	ERR1713406	diaminopyrimidine antibiotic	5	0
RM2016_USA_crossstudy_additional8	ERR1713406	disinfecting agents and antiseptics	40	2
RM2016_USA_crossstudy_additional8	ERR1713406	elfamycin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713406	fluoroquinolone antibiotic	47	2
RM2016_USA_crossstudy_additional8	ERR1713406	glycopeptide antibiotic	106	2
RM2016_USA_crossstudy_additional8	ERR1713406	glycylcycline	6	0
RM2016_USA_crossstudy_additional8	ERR1713406	lincosamide antibiotic	8	2
RM2016_USA_crossstudy_additional8	ERR1713406	macrolide antibiotic	14	4
RM2016_USA_crossstudy_additional8	ERR1713406	monobactam	1	0
RM2016_USA_crossstudy_additional8	ERR1713406	nitroimidazole antibiotic	3	0
RM2016_USA_crossstudy_additional8	ERR1713406	nucleoside antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713406	penam	24	2
RM2016_USA_crossstudy_additional8	ERR1713406	penem	2	0
RM2016_USA_crossstudy_additional8	ERR1713406	phenicol antibiotic	14	3
RM2016_USA_crossstudy_additional8	ERR1713406	phosphonic acid antibiotic	5	1
RM2016_USA_crossstudy_additional8	ERR1713406	pleuromutilin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR1713406	rifamycin antibiotic	9	0
RM2016_USA_crossstudy_additional8	ERR1713406	streptogramin A antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713406	streptogramin B antibiotic	2	0
RM2016_USA_crossstudy_additional8	ERR1713406	streptogramin antibiotic	5	1
RM2016_USA_crossstudy_additional8	ERR1713406	tetracycline antibiotic	55	3
RM2016_USA_crossstudy_additional8	ERR2729809	aminoglycoside antibiotic	11	4
RM2016_USA_crossstudy_additional8	ERR2729809	carbapenem	10	2
RM2016_USA_crossstudy_additional8	ERR2729809	cephalosporin	21	3
RM2016_USA_crossstudy_additional8	ERR2729809	cephamycin	7	1
RM2016_USA_crossstudy_additional8	ERR2729809	diaminopyrimidine antibiotic	9	1
RM2016_USA_crossstudy_additional8	ERR2729809	disinfecting agents and antiseptics	30	2
RM2016_USA_crossstudy_additional8	ERR2729809	elfamycin antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR2729809	fluoroquinolone antibiotic	31	3
RM2016_USA_crossstudy_additional8	ERR2729809	glycopeptide antibiotic	21	0
RM2016_USA_crossstudy_additional8	ERR2729809	glycylcycline	4	0
RM2016_USA_crossstudy_additional8	ERR2729809	lincosamide antibiotic	6	0
RM2016_USA_crossstudy_additional8	ERR2729809	macrolide antibiotic	17	6
RM2016_USA_crossstudy_additional8	ERR2729809	monobactam	2	1
RM2016_USA_crossstudy_additional8	ERR2729809	nucleoside antibiotic	1	0
RM2016_USA_crossstudy_additional8	ERR2729809	penam	19	2
