Year,IMP,KPC,NDM,OXA,PER,SHV,SPM,TEM,VEB,VIM
2004,0.0,0.06467339933336651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.16054309435347003,0.0,0.0,0.0,0.3302600798128526,0.0,0.3761295353424155,0.0,0.009173891105912574
2006,0.0,0.16700066800267202,0.0,0.0,0.0,0.2237808951235805,0.0,0.2638610554442218,0.0,0.01002004008016032
2007,0.0,0.07756981283154839,0.0,0.0,0.0,0.16514863377039335,0.0,0.16514863377039335,0.0,0.002502252026824142
2008,0.0027193865064041554,0.016316319038424933,0.0,0.0,0.0027193865064041554,0.1631631903842493,0.0,0.14412748483942023,0.0,0.019035705544829085
2009,0.014391250119927083,0.11513000095941667,0.002398541686654514,0.009594166746618057,0.007195625059963542,0.5732514631104288,0.0,0.6619975055166458,0.009594166746618057,0.028782500239854167
2010,0.0,0.21255621957981638,0.0,0.003080524921446614,0.0,0.6068634095249831,0.0,0.727003881461401,0.0,0.02772472429301953
2011,0.0,0.38811820312800216,0.011528263459247588,0.08069784421473312,0.0,0.6647965261499443,0.0,0.7301233524190139,0.0,0.06148407178265381
2012,0.03329025183096385,0.5874750323111267,0.04503975247718639,0.7323855402812047,0.01370775075392629,2.911917910155485,0.0,3.178239924803196,0.015666000861630048,0.09007950495437278
2013,0.034224598930481284,0.4976827094474153,0.06987522281639928,0.7101604278074867,0.0213903743315508,3.132976827094474,0.0,3.5137254901960784,0.03279857397504456,0.20249554367201425
2014,0.029774986175899278,0.6451247004778177,0.0793999631357314,1.1541351784372387,0.029774986175899278,3.7048589941726098,0.0,3.9189553233421712,0.07372853719746487,0.3261069914503254
2015,0.03858917959404183,0.5958169329320059,0.15281315119240566,0.30871343675233465,0.026240642123948443,3.2029019063054722,0.0015435671837616732,3.500810372771475,0.04630701551285019,0.28401636181214784
2016,0.06322020747722636,0.4454150981350039,0.13506135233771085,0.20546567430098564,0.02155234345814535,2.724216213109572,0.0,2.8018046495588953,0.04023104112187132,0.29311187103077674
2017,0.07379313895419677,0.5199842117005029,0.20078598273583775,0.34322390211254317,0.029174031679566167,3.138782584819207,0.0017161195105627157,3.257194831048034,0.04633522678519332,0.35695285819704486
2018,0.07740909661492112,0.5355872630654003,0.6673919410854011,0.7594460019247667,0.04602703041968283,4.332817272689233,0.00209213774634922,4.755429097451777,0.16527888196158835,0.5544165027825432
2019,0.07324857426882227,0.7063255375922147,0.8563107134759936,0.8371265630722544,0.047088369172814316,4.590243987512862,0.003488027346134394,4.825685833376934,0.19009749036432447,0.5232041019201591
2020,0.03477857639693948,0.8313735881554105,1.086416481732967,0.8562154284389387,0.018217349541254018,3.138352489152396,0.0,3.189692292405021,0.0844622569639959,0.23516942135073365
2021,0.05582849486377847,0.8789000191411982,1.2409876858291329,0.9442991131244817,0.023926497798762204,3.4119185861034897,0.0,3.52995597524405,0.0701843935430358,0.23288457857461878
2022,0.046752437187234853,0.6943602708178214,1.428546691832176,0.9592907482121521,0.012121002233727553,3.6224480961368632,0.0,3.606863950407785,0.09696801786982043,0.15064674204775674
2023,0.08383459434535662,0.7503196193909416,1.7248967786557121,1.1694925911177247,0.018862783727705237,4.109990987781107,0.0,3.9066920964936176,0.13413535095257056,0.21168235072202543
2024,0.09918175055789735,0.8971440164100715,1.5959245317043482,0.8813651015485878,0.018033045555981335,4.907242521921421,0.0,4.623222054414715,0.11721479611387867,0.24119198431125036
