,0
Moxifloxacin,0.9945543655835904
Ceftaroline,0.9836922351461804
Daptomycin,0.9722437244277342
Colistin,0.9668070981743904
Vancomycin,0.9287365447031078
Tigecycline,0.875734851160182
"Amoxicillin-
clavulanic acid",0.8652533237513474
Imipenem,0.8636892701642453
Clindamycin,0.8416627500130555
Penicillin,0.8304599809258308
