Species,IMP,KPC,NDM,OXA,PER,SHV,SPM,TEM,VEB,VIM
Acinetobacter baumannii,0.0,0.0,0.07933359777865927,24.115586690017512,2.564102564102564,0.0,0.0,0.0,0.0,0.0
Citrobacter amalonaticus,0.0,0.056316876290595085,0.019833399444664817,0.017513134851138354,0.0,0.0,0.0,0.013733434045182997,0.0,0.0
Citrobacter braakii,0.234192037470726,0.0,0.019833399444664817,0.03502626970227671,0.0,0.0071587085689741575,0.0,0.01030007553388725,0.0,0.045207956600361664
Citrobacter farmeri,0.0,0.018772292096865026,0.019833399444664817,0.0,0.0,0.0071587085689741575,0.0,0.0034333585112957493,0.0,0.13562386980108498
Citrobacter freundii,9.133489461358314,1.2014266941993617,1.507338357794526,0.43782837127845886,1.0256410256410255,0.2004438399312764,0.0,0.4944036256265879,0.3189792663476874,1.9439421338155516
Citrobacter koseri,0.0,0.09386146048432514,0.17850059500198334,0.14010507880910683,0.0,0.03221418856038371,0.0,0.024033509579070245,0.0,0.045207956600361664
Citrobacter sedlakii,0.0,0.0,0.05950019833399445,0.0,0.0,0.0035793542844870787,0.0,0.006866717022591499,0.0,0.0
Citrobacter spp,0.234192037470726,0.0750891683874601,0.1190003966679889,0.017513134851138354,0.0,0.010738062853461235,0.0,0.024033509579070245,0.0,0.13562386980108498
Clostridium perfringens,0.0,0.0,0.0,0.0,0.0,0.0035793542844870787,0.0,0.0,0.0,0.0
Enterobacter agglomerans,0.0,0.0,0.0,0.0,0.0,0.0035793542844870787,0.0,0.0,0.0,0.045207956600361664
Enterobacter asburiae,0.468384074941452,0.16895062887178525,0.1190003966679889,0.03502626970227671,0.0,0.04295225141384494,0.0,0.05150037766943624,0.1594896331738437,0.27124773960216997
Enterobacter bugandensis,0.234192037470726,0.03754458419373005,0.1388337961126537,0.017513134851138354,0.0,0.010738062853461235,0.0,0.013733434045182997,0.1594896331738437,0.09041591320072333
Enterobacter cloacae,4.449648711943794,1.971090670170828,4.2840142800476,1.5586690017513136,0.5128205128205128,0.5583792683799843,0.0,1.575911556684749,0.4784688995215311,8.905967450271248
Enterobacter hormaechi,2.107728337236534,0.4129904261310306,3.5303451011503375,0.4028021015761821,0.0,0.11095998281909943,0.0,0.5150037766943625,1.7543859649122806,1.7179023508137432
Enterobacter kobei,0.0,0.0750891683874601,0.05950019833399445,0.03502626970227671,0.0,0.010738062853461235,0.0,0.01030007553388725,0.1594896331738437,0.09041591320072333
Enterobacter roggenkampii,0.0,0.018772292096865026,0.07933359777865927,0.03502626970227671,0.0,0.0,0.0,0.01716679255647875,0.0,0.0
Enterobacter spp,2.576112412177986,0.24403979725924535,1.3090043633478778,0.1926444833625219,0.0,0.04653160569833202,0.0,0.19226807663256196,0.0,0.5877034358047016
Enterobacter xiangfangensis,0.0,0.0,0.05950019833399445,0.03502626970227671,0.0,0.0,0.0,0.024033509579070245,0.0,0.0
"Enterobacter, non-speciated",0.0,0.018772292096865026,0.0,0.0,0.0,0.0071587085689741575,0.0,0.01030007553388725,0.0,0.13562386980108498
Escherichia coli,1.1709601873536302,3.228834240660785,13.367711225704085,5.201401050788091,1.5384615384615385,1.9793829193213546,0.0,26.611961821053352,1.4354066985645932,0.9945750452079566
Escherichia spp,0.0,0.0,0.05950019833399445,0.017513134851138354,0.0,0.0035793542844870787,0.0,0.0034333585112957493,0.0,0.0
Klebsiella aerogenes,0.468384074941452,0.46930730242162566,0.29750099166997224,0.2276707530647986,0.0,0.08590450282768988,0.0,0.21630158621163223,0.1594896331738437,0.22603978300180833
Klebsiella oxytoca,2.3419203747072603,1.445466491458607,0.9916699722332408,0.4728546409807356,2.564102564102564,0.7337676283198511,0.0,1.3081095928036806,0.3189792663476874,1.5370705244122964
Klebsiella pneumoniae,8.899297423887589,83.46161066266191,59.282030940103134,64.41330998248687,6.153846153846154,95.32536330445987,0.0,65.04497699649797,11.004784688995215,11.4376130198915
Klebsiella spp,0.0,0.28158438145297543,0.45616818722729074,0.42031523642732055,0.0,0.15749158851743145,0.0,0.11673418938405548,0.0,0.0
Klebsiella variicola,0.234192037470726,0.31912896564670545,0.25783419278064257,0.15761821366024517,0.5128205128205128,0.17896771422435392,0.0,0.19913479365515346,0.0,0.045207956600361664
"Klebsiella, non-speciated",0.0,0.0,0.0,0.0,0.0,0.0035793542844870787,0.0,0.0,0.0,0.0
Morganella morganii,0.0,0.1501783367749202,0.4760015866719556,0.07005253940455342,0.5128205128205128,0.0071587085689741575,0.0,0.04806701915814049,0.3189792663476874,0.27124773960216997
Proteus mirabilis,0.468384074941452,0.0750891683874601,1.3090043633478778,0.2626970227670753,6.666666666666667,0.08590450282768988,0.0,2.190482730206688,19.617224880382775,0.7233273056057866
Proteus vulgaris,0.0,0.0,0.039666798889329634,0.0,0.0,0.0,0.0,0.006866717022591499,0.1594896331738437,0.0
Providencia rettgeri,0.468384074941452,0.0,2.380007933359778,0.7355516637478109,4.615384615384616,0.014317417137948315,0.0,0.28840211494884294,6.0606060606060606,0.13562386980108498
Providencia spp,0.0,0.0,0.2776675922253074,0.017513134851138354,2.051282051282051,0.0,0.0,0.01030007553388725,0.9569377990430622,0.0
Providencia stuartii,0.234192037470726,0.0,2.2808409361364537,0.21015761821366027,1.5384615384615385,0.07874579425871572,0.0,0.22316830323422374,6.698564593301436,1.7179023508137432
Pseudomonas aeruginosa,59.250585480093676,3.8670921719541957,5.712019040063467,0.0,69.74358974358974,0.07158708568974158,100.0,0.26780196388106847,50.23923444976076,67.45027124773961
