sample_id	stage	relative_path	file_name	bytes	sha256	status
E_1-2	FASTP	FASTP/E_1-2/E_1-2.fastp.json	E_1-2.fastp.json	137901	f95a2ded029d52f364928bb296acd123b97583e6b1f32500f71b3daba4f82ea3	PASS
E_11-12	FASTP	FASTP/E_11-12/E_11-12.fastp.json	E_11-12.fastp.json	137960	8a0be04bef9e3f5decc4ff4fe3832f04520a51955d7adad0de88493736b8b1aa	PASS
E_3-4	FASTP	FASTP/E_3-4/E_3-4.fastp.json	E_3-4.fastp.json	143021	b59595ca47b275a1980e2e2233dcdd732bc8ae7154d47d1ae6bac9f938e9ed12	PASS
E_5-6	FASTP	FASTP/E_5-6/E_5-6.fastp.json	E_5-6.fastp.json	141870	f46e5d68f02ba061a13d8def36df0764e826cd6519d7aadc77481b1a72f2e60f	PASS
E_7-8	FASTP	FASTP/E_7-8/E_7-8.fastp.json	E_7-8.fastp.json	137801	883e0abefbeba2b333e41c0d5e01e3c305c2ba2039391cebe31987f71d74290e	PASS
E_9-10	FASTP	FASTP/E_9-10/E_9-10.fastp.json	E_9-10.fastp.json	137655	5da26e13de3b56ee8c95c79ea6ad9e85bafebc70771523c58dc55b3fe5831a93	PASS
I_1-2	FASTP	FASTP/I_1-2/I_1-2.fastp.json	I_1-2.fastp.json	137829	2fff1da6bdd6a497738a99c9aa132bc3f493528ed585db1509fe5ed805c58695	PASS
I_11-12	FASTP	FASTP/I_11-12/I_11-12.fastp.json	I_11-12.fastp.json	137982	4826d83a8412dd8bd1362ec2278f3ee27b28dc89b58263a5d0ab08e8bcbca1a4	PASS
I_3-4	FASTP	FASTP/I_3-4/I_3-4.fastp.json	I_3-4.fastp.json	142182	d5598f73fb2affe974a691edbc9ee419a98a4361deaa93eb41292ca43d14d51b	PASS
I_5-6	FASTP	FASTP/I_5-6/I_5-6.fastp.json	I_5-6.fastp.json	137385	fd7fb7f7b7078aa85147f9b32bd96a02dc832e467494228cc61e5859f6ff47f5	PASS
I_7-8	FASTP	FASTP/I_7-8/I_7-8.fastp.json	I_7-8.fastp.json	142010	ce04a43bb0aefa73c4f419f8fc49a54213c0c9624c7be06c1a1242dd19a07392	PASS
I_9-10	FASTP	FASTP/I_9-10/I_9-10.fastp.json	I_9-10.fastp.json	142429	8833d26a06acc8b9cd65d09796074aaa01f2e8051af38b632447ecc79b5feb0b	PASS
RW_1	FASTP	FASTP/RW_1/RW_1.fastp.json	RW_1.fastp.json	138900	a1e9011cddf562a3767cca10c04bd784650f06b9d1167be7144f8859144898d6	PASS
RW_2	FASTP	FASTP/RW_2/RW_2.fastp.json	RW_2.fastp.json	142006	23264f8d9fea2b8a044ca5816ac4bf684caecb2b34f714227fc75aa74f37bece	PASS
RW_3	FASTP	FASTP/RW_3/RW_3.fastp.json	RW_3.fastp.json	137722	41fa840bec4d51cdc9b0cac31fb1db4dd524b7560a452984f38953c4875961a6	PASS
RW_4	FASTP	FASTP/RW_4/RW_4.fastp.json	RW_4.fastp.json	137615	d29b642850b891946104428f128bb2b252cb5a0c139916f27d91b5fc4da33a23	PASS
RW_5	FASTP	FASTP/RW_5/RW_5.fastp.json	RW_5.fastp.json	141978	b98ddec10b923b53decd65c01aa37dac50ca8654330416392cc9e24640019ca8	PASS
RW_6	FASTP	FASTP/RW_6/RW_6.fastp.json	RW_6.fastp.json	142284	dc638220cb66b9923d52426b8800514451ce0a7f31700e15ae9d798fea6c738f	PASS
E_1-2	Bowtie2	Bowtie2/E_1-2/E_1-2.bowtie2.summary.txt	E_1-2.bowtie2.summary.txt	633	8ce6e5893513b81277e082d6489f22ad7300c317bf6d3db783e6412ec8d10d7b	PASS
E_11-12	Bowtie2	Bowtie2/E_11-12/E_11-12.bowtie2.summary.txt	E_11-12.bowtie2.summary.txt	636	ee37fb3421fae5b2f0075f6d821d97abf7d8b5cab68242cfaf7e5abb4b4e51d0	PASS
E_3-4	Bowtie2	Bowtie2/E_3-4/E_3-4.bowtie2.summary.txt	E_3-4.bowtie2.summary.txt	631	d266dbaf824574b90ea85289e0e7e24976def7dcb0e2f450e0a11ce2952378b2	PASS
E_5-6	Bowtie2	Bowtie2/E_5-6/E_5-6.bowtie2.summary.txt	E_5-6.bowtie2.summary.txt	630	755dee12dc75b01b2768956d7b2de78aa5766d4e0cdaf04bd60079e112da9afe	PASS
E_7-8	Bowtie2	Bowtie2/E_7-8/E_7-8.bowtie2.summary.txt	E_7-8.bowtie2.summary.txt	633	4967fbd9ef60079b2727fb1c294730c229b9aab9c87bdf0ae4fab7e2e0f1ca6d	PASS
E_9-10	Bowtie2	Bowtie2/E_9-10/E_9-10.bowtie2.summary.txt	E_9-10.bowtie2.summary.txt	627	666a52a5d94506b184458283dd0fc85df8abd5146412bea1b30f1cb9e8474306	PASS
I_1-2	Bowtie2	Bowtie2/I_1-2/I_1-2.bowtie2.summary.txt	I_1-2.bowtie2.summary.txt	637	149f126c8e4d5b96a534c87aca2717d87ac4e02a434acaedc557b12cebf66986	PASS
I_11-12	Bowtie2	Bowtie2/I_11-12/I_11-12.bowtie2.summary.txt	I_11-12.bowtie2.summary.txt	637	b5871660de4eaa755a9f7596b71bbd09dc54fa9f127b67bcdabc770ddb418541	PASS
I_3-4	Bowtie2	Bowtie2/I_3-4/I_3-4.bowtie2.summary.txt	I_3-4.bowtie2.summary.txt	630	f1a79dbc3da21ba5dea85d40a6294e0c7a31f38cc07a56ce045c03e45ae0d578	PASS
